_GAMENAME|BLOCKPOST
_LANGUAGE_TRANSLATION|2018/10/23更新 汉化版本v1.5 联系作者：QQ 1763575579
_LANGUAGE_NAME|简体中文
_BONUS_LEFT|下一个奖金 {0}小时 {1}分钟
_DAY|天
_COME_EVER_DAY|每天登录游戏并获得奖励
_CONTINUE|继续
_COLLECT|拿
_RECEIVED|你收到
_REQUIRES_KEY|需要钥匙
_GOTO_STORE|转到商店
_USED_KEY|使用钥匙
_OPEN_CASE_EMUL|打开箱子 (模拟)
_OPEN_CASE|打开箱子
_SOLDIER|士兵
_SERGEANT|中士
_COMMANDER|指挥官
_CAPTAIN|队长
_LEAVE_CLAN|战队等级
_LEAVE_CLAN_CONFIRM|战队等级 (确认)
_CANCEL|取消
_FIND_CLAN|寻找战队
_CREATE_CLAN|创建战队
_LOOKFOR|寻找
_SEARCH|搜索中...
_CLAN_NAME|战队名字
_PARTY|队员
_FOUNDER|队长
_ADMISSION|进入许可
_SUBMISSION_FOR_BID|战队邀请需要 10 级
_CLAN_NOT_ACCEPT|战队邀请关闭
_APPLY_TO_CLAN|请求加入战队
_SEND|发送
_IS_OPEN|开放
_IS_CLOSE|关闭
_SHOW_LAST_CLANS|显示最后 25 个战队
_REBUILD_CLAN|恢复战队
_CREATURE|创建中...
_CLAN_CREATION_AVAILABLE|15级才可以创建战队
_ATTENTION_NAME|提示: 该名称只能包含俄罗斯字母或英语字母<br>允许使用数字和符号 '_' '.'<br>最小名称长度 3 个字符，最大 16 个字符
_NUMBER_POSTS|消息数:
_RENAME_CLAN|重命名战队
_CLAN_STATUS|战队状态
_CLAN_EXPANSION|战队经验
_REMOVE_CLAN|解散战队
_REMOVE_CLAN_CONFIRM|解散战队 (确认)
_AVAILABLE_RENAME|重命名可用次数:
_RENAME|重命名
_RETURN|返回
_CURRENT_STATUS_CLAN_OPEN|当前战队状态 <color=#FF0>开启</color>
_CLAN_TAKES_APPLICATION|战队接受会员邀请
_CURRENT_STATUS_CLAN_CLOSE|当前战队状态 <color=#FF0>关闭</color>
