_GAMENAME|BLOCKPOST
_LANGUAGE_TRANSLATION|一部誤訳がありますがご了承ください。(翻訳:TANEMOKA)
_LANGUAGE_NAME|日本語
_BONUS_LEFT|ボーナスまで残り{0}時間 {1}分
_DAY|日
_COME_EVER_DAY|毎日遊んでボーナスをゲット！
_CONTINUE|コンテニュー
_COLLECT|取得
_RECEIVED|受取り
_REQUIRES_KEY|鍵が必要です
_GOTO_STORE|ショップに行く
_USED_KEY|鍵を使う
_OPEN_CASE_EMUL|ケースを開ける(お試し)
_OPEN_CASE|ケースを開ける
_SOLDIER|兵士
_SERGEANT|軍曹
_COMMANDER|コマンダー
_CAPTAIN|キャプテン
_LEAVE_CLAN|クランを離脱
_LEAVE_CLAN_CONFIRM|クランを離脱します
_CANCEL|取消
_FIND_CLAN|クランを探す
_CREATE_CLAN|クランを作る
_LOOKFOR|探す
_SEARCH|探しています...
_CLAN_NAME|クラン名
_PARTY|人数
_FOUNDER|オーナー
_ADMISSION|状況
_SUBMISSION_FOR_BID|クランに参加するには10lvになる必要があります
_CLAN_NOT_ACCEPT|クランを拒否する
_APPLY_TO_CLAN|クランを承認する
_SEND|送る
_IS_OPEN|オープン
_IS_CLOSE|クローズ
_SHOW_LAST_CLANS|上位25個のクランを表示
_REBUILD_CLAN|クランを作り直す
_CREATURE|作成中...
_CLAN_CREATION_AVAILABLE|クランを作るには15lv必要です
_ATTENTION_NAME|警告:ロシア語かアルファベットのみ使えます<br>数字と記号を使用することができます'_' '.'<br>3文字から16文字である必要があります
_NUMBER_POSTS|メッセージ数:
_RENAME_CLAN|クランを改名
_CLAN_STATUS|クラン情報
_CLAN_EXPANSION|クランの拡張
_REMOVE_CLAN|クランを削除
_REMOVE_CLAN_CONFIRM|クランを削除します
_AVAILABLE_RENAME|改名できる残り回数:
_RENAME|改名
_RETURN|戻る
_CURRENT_STATUS_CLAN_OPEN|現在のクラン状況 <color=#FF0>オープン</color>
_CLAN_TAKES_APPLICATION|Clクランはメンバーシップを受け入れました
_CURRENT_STATUS_CLAN_CLOSE|現在のクラン状況 <color=#FF0>クローズ</color>
