_GAMENAME|BLOCKPOST
_LANGUAGE_TRANSLATION|OFFICIAL
_LANGUAGE_NAME|ENGLISH
_BONUS_LEFT|NEXT BONUS LEFT {0}h {1}m
_DAY|DAY
_COME_EVER_DAY|LOG INTO THE GAME TO PLAY EACH DAY WITH BONUS!
_CONTINUE|CONTINUE
_COLLECT|TAKE
_RECEIVED|YOU RECEIVED
_REQUIRES_KEY|KEY REQUIRE
_GOTO_STORE|GOTO SHOP
_USED_KEY|USED KEY
_OPEN_CASE_EMUL|OPEN CASE (EMULATOR)
_OPEN_CASE|OPEN CASE
_SOLDIER|SOLDIER
_SERGEANT|SERGEANT
_COMMANDER|COMMANDER
_CAPTAIN|CAPTAIN
_LEAVE_CLAN|LEAVE CLAN
_LEAVE_CLAN_CONFIRM|LEAVE CLAN (CONFIRM)
_CANCEL|CANCEL
_FIND_CLAN|FIND CLAN
_CREATE_CLAN|CREATE CLAN
_LOOKFOR|FIND
_SEARCH|SEARCH...
_CLAN_NAME|CLAN NAME
_PARTY|TEAMMATES
_FOUNDER|OWNER
_ADMISSION|ADMISSION
_SUBMISSION_FOR_BID|FOR CLAN INVATION REQUIRE 10 LEVEL
_CLAN_NOT_ACCEPT|CLAN INVITE CLOSED
_APPLY_TO_CLAN|REQUEST CLAN JOIN
_SEND|SEND
_IS_OPEN|OPENED
_IS_CLOSE|CLOSED
_SHOW_LAST_CLANS|LAST 25 CLANS SHOWED
_REBUILD_CLAN|RESTORE CLAN
_CREATURE|CREATING...
_CLAN_CREATION_AVAILABLE|CLAN CREATING REQUIRE 15 LEVEL
_ATTENTION_NAME|Note: the Name can contain only English alphabet<br>it is Allowed to use numbers and symbols '_' '.'<br>minimum name length 3 characters, maximum 16
_NUMBER_POSTS|MESSAGES COUNT:
_RENAME_CLAN|RENAME CLAN
_CLAN_STATUS|CLAN STATUS
_CLAN_EXPANSION|CLAN EXPANSION
_REMOVE_CLAN|DELETE CLAN
_REMOVE_CLAN_CONFIRM|DELETE CLAN (CONFIRM)
_AVAILABLE_RENAME|Rename count available:
_RENAME|RENAME
_RETURN|RETURN
_CURRENT_STATUS_CLAN_OPEN|Current clan status <color=#FF0>opened</color>
_CLAN_TAKES_APPLICATION|Clan accept invites for membership
_CURRENT_STATUS_CLAN_CLOSE|Current clan status <color=#FF0>closed</color>
_CLAN_NOT_ACCEPT_APPLICATION|Clan does not accept invites for membership
_CHANGE_STATUS|CHANGE STATUS
_CURRENT_NUMBER_SLOTS|Current slots <color=#FF0>
_YOUR_CLAN_MAXIMUM|<color=#0F0>You clan reached maximum 200 slots</color>
_SLOTS_AFTER_EXPANSION|Slots after expanstion
_MAXIMUM_200|(maximum 200)
