_GAMENAME|БЛОКПОСТ
_LANGUAGE_TRANSLATION|ОФИЦИАЛЬНЫЙ
_LANGUAGE_NAME|РУССКИЙ
_BONUS_LEFT|ДО СЛЕДУЮЩЕГО БОНУСА ОСТАЛОСЬ {0}ч {1}м
_DAY|ДЕНЬ
_COME_EVER_DAY|ЗАХОДИТЕ КАЖДЫЙ ДЕНЬ В ИГРУ И ПОЛУЧАЙТЕ БОНУС!
_CONTINUE|ПРОДОЛЖИТЬ
_COLLECT|ЗАБРАТЬ
_RECEIVED|ВЫ ПОЛУЧИЛИ
_REQUIRES_KEY|ТРЕБУЕТСЯ КЛЮЧ
_GOTO_STORE|ПЕРЕЙТИ В МАГАЗИН
_USED_KEY|ИСПОЛЬЗУЕМЫЙ КЛЮЧ
_OPEN_CASE_EMUL|ОТКРЫТЬ КЕЙС (ЭМУЛЯТОР)
_OPEN_CASE|ОТКРЫТЬ КЕЙС
_SOLDIER|РЯДОВОЙ
_SERGEANT|СЕРЖАНТ
_COMMANDER|КОМАНДИР
_CAPTAIN|КАПИТАН
_LEAVE_CLAN|ПОКИНУТЬ КЛАН
_LEAVE_CLAN_CONFIRM|ПОКИНУТЬ КЛАН (ПОДТВЕРДИТЬ)
_CANCEL|ОТМЕНИТЬ
_FIND_CLAN|НАЙТИ КЛАН
_CREATE_CLAN|СОЗДАТЬ КЛАН
_LOOKFOR|ИСКАТЬ
_SEARCH|ПОИСК...
_CLAN_NAME|НАЗВАНИЕ КЛАНА
_PARTY|УЧАСТНИКИ
_FOUNDER|ОСНОВАТЕЛЬ
_ADMISSION|ПРИЕМ
_SUBMISSION_FOR_BID|ДЛЯ ПОДАЧИ ЗАЯВКУ В КЛАН НЕОБХОДИМ 10 УРОВЕНЬ
_CLAN_NOT_ACCEPT|КЛАН НЕ ПРИНИМАЕТ ЗАЯВКИ
_APPLY_TO_CLAN|ПОДАТЬ ЗАЯВКУ В КЛАН
_SEND|ОТПРАВИТЬ
_IS_OPEN|ОТКРЫТ
_IS_CLOSE|ЗАКРЫТ
_SHOW_LAST_CLANS|ПОКАЗАНО 25 ПОСЛЕДНИХ КЛАНОВ
_REBUILD_CLAN|ВОССТАНОВИТЬ КЛАН
_CREATURE|СОЗДАНИЕ...
_CLAN_CREATION_AVAILABLE|СОЗДАНИЕ КЛАНА ДОСТУПНО С 15 УРОВНЯ
_ATTENTION_NAME|Внимание: Имя может содержать буквы только русского или только английского алфавита<br>Разрешено использовать цифры и символы '_' '.'<br>Минимальная длина имени 3 символа, максимальная 16
_NUMBER_POSTS|КОЛИЧЕСТВО СООБЩЕНИЙ:
_RENAME_CLAN|ПЕРЕИМЕНОВАТЬ КЛАН
_CLAN_STATUS|СТАТУС КЛАНА
_CLAN_EXPANSION|РАСШИРЕНИЕ КЛАНА
_REMOVE_CLAN|УДАЛИТЬ КЛАН
_REMOVE_CLAN_CONFIRM|УДАЛИТЬ КЛАН (ПОДТВЕРДИТЬ)
_AVAILABLE_RENAME|Доступных переименований:
_RENAME|ПЕРЕИМЕНОВАТЬ
_RETURN|ВЕРНУТЬСЯ
_CURRENT_STATUS_CLAN_OPEN|Текущий статус клана <color=#FF0>открыт</color>
_CLAN_TAKES_APPLICATION|Клан принимает заявки на вступление
_CURRENT_STATUS_CLAN_CLOSE|Текущий статус клана <color=#FF0>закрыт</color>
_CLAN_NOT_ACCEPT_APPLICATION|Клан не принимает заявки на вступление
_CHANGE_STATUS|СМЕНИТЬ СТАТУС
_CURRENT_NUMBER_SLOTS|Текущее количество слотов <color=#FF0>
_YOUR_CLAN_MAXIMUM|<color=#0F0>Ваш клан достиг максимума 200 слотов</color>
_SLOTS_AFTER_EXPANSION|Слотов после расширения кланов
_MAXIMUM_200|(максимум 200)
_COST_OPERATION|Стоимость операции 50 монет!
