_GAMENAME|БЛОКПОСТ
_LANGUAGE_TRANSLATION|ОФІЦІЙНИЙ
_LANGUAGE_NAME|УКРАЇНСЬКИЙ
_BONUS_LEFT|ДО НАСТУПНОГО БОНУСА ЗАЛИШИЛОСЬ {0}г {1}х
_DAY|ДЕНЬ
_COME_EVER_DAY|ЗАХЛДБТЕ У ГРУ КОЖЕН ДЕНЬ ТА ОТРИМУЙТЕ БОНУС
_CONTINUE|ПРОДОВЖИТИ
_COLLECT|ЗАБРАТИ
_RECEIVED|ВИ ОТРИМАЛИ
_REQUIRES_KEY|ПОТРІБЕН КЛЮЧ
_GOTO_STORE|ПЕРЕЙТИ В МАГАЗИН
_USED_KEY|ПОТРІБНИЙ КЛЮЧ
_OPEN_CASE_EMUL|ВІДКРИТИ КЕЙС (ЭМУЛЯТОР)
_OPEN_CASE|ВІДКРИТИ КЕЙС 
_SOLDIER|РЯДОВИЙ
_SERGEANT|СЕРЖАНТ
_COMMANDER|КОМАНДИР
_CAPTAIN|КАПІТАН
_LEAVE_CLAN|ВИЙТИ З КЛАНУ
_LEAVE_CLAN_CONFIRM|ВИЙТИ З КЛАНУ (ПІДТВЕРДИТИ)
_CANCEL|ВІДМІНА
_FIND_CLAN|ЗНАЙТИ КЛАН
_CREATE_CLAN|СТВОРИТИ КЛАН
_LOOKFOR|ШУКАТИ
_SEARCH|ПОШУК...
_CLAN_NAME|НАЗВА КЛАНУ
_PARTY|УЧАСНИКИ
_FOUNDER|ЗАСНОВНИК
_ADMISSION|ВСТУП
_SUBMISSION_FOR_BID|ДЛЯ ПОДАЧІ ЗАЯВК В КЛАН НЕОБХІДНИЙ 10 РІВЕНЬ
_CLAN_NOT_ACCEPT|КЛАН НЕ ПРИЙМАЄ ЗАЯВКИ
_APPLY_TO_CLAN|ПОДАДТИ ЗАЯВКУ ДО КЛАНУ
_SEND|ВІДПРАВИТИ
_IS_OPEN|ВІТКРИТИЙ
_IS_CLOSE|ЗАКРИТИЙ
_SHOW_LAST_CLANS|ПОКАЗАНО 25 ОСТАННІХ КЛАНІВ
_REBUILD_CLAN|ВІДНОВИТИ КЛАН
_CREATURE|СТВОРЕННЯ...
_CLAN_CREATION_AVAILABLE|СТВОРЕННЯ КЛАНУ ДОСТУПНО З 15 РІВНЯ
_ATTENTION_NAME|Увага: Ім`я може містити букви лише англійського алфавіту <br>Дозволенно використовувати цифри та символи '_' '.' <br> Мінімальна довжина імені 3 символа, максимальна 16
_NUMBER_POSTS|КІЛЬКІСТЬ ПОВІДОМЛЕНЬ:
_RENAME_CLAN|ПЕРЕІМЕНУВАТИ КЛАН
_CLAN_STATUS|СТАТУС КЛАНА
_CLAN_EXPANSION|РРОЗШИРЕННЯ КЛАНА
_REMOVE_CLAN|ВИДАЛИТИ КЛАН
_REMOVE_CLAN_CONFIRM|ВИДАЛИТИ КЛАН (ПІДТВЕРДИТИ)
_AVAILABLE_RENAME|Доступних змін імені:
_RENAME|ПЕРЕЙМЕНУВАТИ
_RETURN|ПОВЕРУНТИСЯ
_CURRENT_STATUS_CLAN_OPEN|Почточний статус клана <color=#FF0>відкритий</color>
_CLAN_TAKES_APPLICATION|Клан принимает заявки на вступление
_CURRENT_STATUS_CLAN_CLOSE|Почточний статус клана <color=#FF0>заккритий</color>
_CLAN_NOT_ACCEPT_APPLICATION|Клан не принимает заявки на вступление / Клан не приймає заявки на вступ
_CHANGE_STATUS|ЗМІНИТИ СТАТУС
_CURRENT_NUMBER_SLOTS|Поточна кiлькiсть слотiв <color=#FF0>
_YOUR_CLAN_MAXIMUM|<color=#0F0>Ваш клан досяг максимуму 200 слотів!</color>
_SLOTS_AFTER_EXPANSION|Слотів після розширення клану
_MAXIMUM_200|(максимум 200)  
_COST_OPERATION|Вартість дії 50 монет!
_PLACE_WEAPON_CASE|Помістіть 3 одиниці зброї для розбору <color=red>(зброя буде знищена назавжди</color>, вобмін ви отримаєте спціальний кейс.
_PLACE_WEAPON_WEAPON|Помістіть 3 одиниці зброї для модернізації <color=red>(зброя буде знищена назавжди</color>, вобмін ви отримаєте модернізовану зброю.
_PLACE_CASE_2_COIN|Помістіть 1 кейс для продажу <color=red>(кейс буде видалено з вашого інвентарю назавжди)</color>, вобмін ви отримаєте 2 монети. 
_PLACE_CASE_3_COIN|Помістіть 1 кейс для продажу <color=red>(кейс буде видалено з вашого інвентарю назавжди)</color>, вобмін ви отримаєте 3 монети.
_PLACE_CASE_1_COIN|Помістіть 1 кейс для продажу <color=red>(кейс буде видалено з вашого інвентарю назавжди)</color>, вобмін ви отримаєте 1 монету.
_WAITING_SERVER|Очікування відповіді сервера
_START_DISARMAMENT|ПОЧАТИ РОЗБІР
_START_UPGRADE_NOT|ПОЧАТИ МОДЕРНІЗАЦІЮ (НЕДОСТУПНО)
_SALE_WILL_BE|ПРОДАЖ БУДЕ ДОСТУПНИЙ ЧЕРЕЗ
_START_SALE|ПОЧАТИ ПРОДАЖ
_MAP_SAVED|МАПУ ЗБЕРЕЖЕННО
_CONSERVATION|ИВІДБУВАЄТЬСЯ ЗБЕРЕЖЕННЯ
_ENABLE_CHAT|ВВІМКНУТИ ЧАТ
_DISABLE_CHAT|ВИМКНУТИ ЧАТ
_GAME_MENU|ИІГРОВЕ МЕНЮ
_BACK_TO_GAME|ПОВЕРНУТИСЬ ДО ГРИ
_CHANGE_WEAPON|ЗМІНИТИ ЗБРОЮ
_SAVE_MAP|ЗБЕРЕГТИ МАПУ
_EXIT_MAIN_MENU|ВИЙТИ В ГОЛОВНЕ МЕНЮ
_SET1|СЕТ 1
_SET2|СЕТ 2
_SET3|СЕТ 3
_PRIMARY|ОСНОВНА
_SECONDARY|ВТОРИЧНА
_MELEE|БЛИЖНІЙ БІЙ
_BUILDING_BLOCK|БУДІВЕЛЬНИЙ БЛОК
_ADDITIONAL|ДОДАТКОВО
_COIN|монет
_COINS|монети
_VOICE|голос
_VOICES|голосів
_DAMAGE|ПОШКОДЖЕННЯ
_CAGE|МАГАЗИН
_STOCK|ЗАПАС
_RATE_FIRE|ТЕМП СТРІЛЬБИ
_DISTANCE|ДИСТАНЦІЯ
_ACCURACY|ТОЧНІСТЬ
_RELOAD_SPEED|ШВИДКІСТЬ ПЕРЕЗАРЯДКИ
_RECOIL|ВІДДАЧА
_PROPERTIES|ПРОБИВНА ЗДАТНІСТЬ
_MOBILITY|МОБІЛЬНІСТЬ
_OVERVIEW|ОБЗОР
_WEAR_WEAPON|ВЗЯТИ ЗБРОЮ
_REMOVE_WEAPON|ЗНЯТИ ЗБРОЮ
_COLOR_SKIN|КОЛІР ШКІРИ
_COLOR_EYE|КОЛІР ОЧЕЙ
_COLOR_HAIR|КОЛІР ВОЛОССЯ
_HAIRSTYLE|ЗАЧІСКА
_EYE_TYPE|ТИП ОЧЕЙ
_BEARD|ЩЕТИНА
_HAT|ШАПКА
_BODY|ТІЛО
_PANTS|ШТАНИ
_BOOTS|БОТИ
_BASIC_LVL|БАЗОВИЙ Lv.
_FRAGS|ФРАГІВ:
_PROGRESS|ПРОГРЕС
_WITHOUT_SIGHT|БЕЗ ПРИЦІЛУ
_NEW_MAP|НОВА КАРТА
_IS_LOADING|ЗАВАНТАЖЕННЯ
_NAME_MAP|ІМ`Я МАПИ
_SIZE_MAP|РОЗМІР МАПИ
_HEIGHT_MAP|ВИСОТА МАПИ
_CREATE|СТВОРИТИ
_LOAD|ЗАВАНТАЖИТИ
_CHANGE_NAME|ЗМІНИТИ ІМ`Я
_SAVING|ЗБЕРЕЖЕННЯ...
_PURCHASE_CHANGE_NAME|Купити зміну імені (2 шт)
_BUY|КУПИТИ
_REGULAR_TASKS|РУГЕЛЯРНІ ЗАВДАННЯ
_ACTIVE_TASKS|АКТИВНІ ЗАВДАННЯ
_PROGRESS_ACTIVITIES|Прогрес данних завдать зберігається завжди
_MUST_SELECT_TASK|Необхідно вибрати одне завдання для його виконання
_NEW_LVL|НОВИЙ РІВЕНЬ
_REACH_LVL|Досягніть %param% рівня
_SHTORM_TROOPER|ШТУРМОВИК
_FRAGS_ASSAULT_RIFLE|Зробіть %param% фрагів зі штурмової гвинтівки
_MADE_IN_RUSSIA|«ЗРОБЛЕНО В РОСІЇ»
